file,fold,class_id,class,augment
100032-3-0-0.wav,5,3,dog_bark,none
100263-2-0-117.wav,5,2,children_playing,none
100263-2-0-121.wav,5,2,children_playing,none
100263-2-0-126.wav,5,2,children_playing,none
100263-2-0-137.wav,5,2,children_playing,none
100263-2-0-143.wav,5,2,children_playing,none
100263-2-0-161.wav,5,2,children_playing,none
100263-2-0-3.wav,5,2,children_playing,none
100263-2-0-36.wav,5,2,children_playing,none
100648-1-0-0.wav,10,1,car_horn,none
100648-1-1-0.wav,10,1,car_horn,none
100648-1-2-0.wav,10,1,car_horn,none
100648-1-3-0.wav,10,1,car_horn,none
100648-1-4-0.wav,10,1,car_horn,none
100652-3-0-0.wav,2,3,dog_bark,none
100652-3-0-1.wav,2,3,dog_bark,none
100652-3-0-2.wav,2,3,dog_bark,none
100652-3-0-3.wav,2,3,dog_bark,none
100795-3-0-0.wav,10,3,dog_bark,none
100795-3-1-0.wav,10,3,dog_bark,none
100795-3-1-1.wav,10,3,dog_bark,none
100795-3-1-2.wav,10,3,dog_bark,none
100852-0-0-0.wav,5,0,air_conditioner,none
100852-0-0-1.wav,5,0,air_conditioner,none
100852-0-0-10.wav,5,0,air_conditioner,none
100852-0-0-11.wav,5,0,air_conditioner,none
100852-0-0-12.wav,5,0,air_conditioner,none
100852-0-0-13.wav,5,0,air_conditioner,none
100852-0-0-14.wav,5,0,air_conditioner,none
100852-0-0-15.wav,5,0,air_conditioner,none
100852-0-0-16.wav,5,0,air_conditioner,none
100852-0-0-17.wav,5,0,air_conditioner,none
100852-0-0-18.wav,5,0,air_conditioner,none
100852-0-0-19.wav,5,0,air_conditioner,none
100852-0-0-2.wav,5,0,air_conditioner,none
100852-0-0-20.wav,5,0,air_conditioner,none
100852-0-0-21.wav,5,0,air_conditioner,none
100852-0-0-22.wav,5,0,air_conditioner,none
100852-0-0-23.wav,5,0,air_conditioner,none
100852-0-0-24.wav,5,0,air_conditioner,none
100852-0-0-25.wav,5,0,air_conditioner,none
100852-0-0-26.wav,5,0,air_conditioner,none
100852-0-0-27.wav,5,0,air_conditioner,none
100852-0-0-28.wav,5,0,air_conditioner,none
100852-0-0-29.wav,5,0,air_conditioner,none
100852-0-0-3.wav,5,0,air_conditioner,none
100852-0-0-30.wav,5,0,air_conditioner,none
100852-0-0-4.wav,5,0,air_conditioner,none
100852-0-0-5.wav,5,0,air_conditioner,none
100852-0-0-6.wav,5,0,air_conditioner,none
100852-0-0-7.wav,5,0,air_conditioner,none
100852-0-0-8.wav,5,0,air_conditioner,none
100852-0-0-9.wav,5,0,air_conditioner,none
101281-3-0-0.wav,6,3,dog_bark,none
101281-3-0-14.wav,6,3,dog_bark,none
101281-3-0-5.wav,6,3,dog_bark,none
101382-2-0-10.wav,10,2,children_playing,none
101382-2-0-12.wav,10,2,children_playing,none
101382-2-0-20.wav,10,2,children_playing,none
101382-2-0-21.wav,10,2,children_playing,none
101382-2-0-29.wav,10,2,children_playing,none
101382-2-0-33.wav,10,2,children_playing,none
101382-2-0-42.wav,10,2,children_playing,none
101382-2-0-45.wav,10,2,children_playing,none
101415-3-0-2.wav,1,3,dog_bark,none
101415-3-0-3.wav,1,3,dog_bark,none
101415-3-0-8.wav,1,3,dog_bark,none
101729-0-0-1.wav,9,0,air_conditioner,none
101729-0-0-11.wav,9,0,air_conditioner,none
101729-0-0-12.wav,9,0,air_conditioner,none
101729-0-0-13.wav,9,0,air_conditioner,none
101729-0-0-14.wav,9,0,air_conditioner,none
101729-0-0-16.wav,9,0,air_conditioner,none
101729-0-0-17.wav,9,0,air_conditioner,none
101729-0-0-18.wav,9,0,air_conditioner,none
101729-0-0-19.wav,9,0,air_conditioner,none
101729-0-0-21.wav,9,0,air_conditioner,none
101729-0-0-22.wav,9,0,air_conditioner,none
101729-0-0-23.wav,9,0,air_conditioner,none
101729-0-0-24.wav,9,0,air_conditioner,none
101729-0-0-26.wav,9,0,air_conditioner,none
101729-0-0-28.wav,9,0,air_conditioner,none
101729-0-0-29.wav,9,0,air_conditioner,none
101729-0-0-3.wav,9,0,air_conditioner,none
101729-0-0-32.wav,9,0,air_conditioner,none
101729-0-0-33.wav,9,0,air_conditioner,none
101729-0-0-36.wav,9,0,air_conditioner,none
101729-0-0-37.wav,9,0,air_conditioner,none
101729-0-0-38.wav,9,0,air_conditioner,none
101729-0-0-39.wav,9,0,air_conditioner,none
101729-0-0-4.wav,9,0,air_conditioner,none
101729-0-0-40.wav,9,0,air_conditioner,none
101729-0-0-6.wav,9,0,air_conditioner,none
101729-0-0-9.wav,9,0,air_conditioner,none
101848-9-0-0.wav,7,9,street_music,none
101848-9-0-1.wav,7,9,street_music,none
101848-9-0-2.wav,7,9,street_music,none
101848-9-0-3.wav,7,9,street_music,none
101848-9-0-8.wav,7,9,street_music,none
101848-9-0-9.wav,7,9,street_music,none
102102-3-0-0.wav,4,3,dog_bark,none
102103-3-0-0.wav,10,3,dog_bark,none
102103-3-1-0.wav,10,3,dog_bark,none
102104-3-0-0.wav,2,3,dog_bark,none
102105-3-0-0.wav,3,3,dog_bark,none
102106-3-0-0.wav,1,3,dog_bark,none
102305-6-0-0.wav,1,6,gun_shot,none
102547-3-0-2.wav,5,3,dog_bark,none
102547-3-0-7.wav,5,3,dog_bark,none
102547-3-0-8.wav,5,3,dog_bark,none
102842-3-0-1.wav,1,3,dog_bark,none
102842-3-1-0.wav,1,3,dog_bark,none
102842-3-1-5.wav,1,3,dog_bark,none
102842-3-1-6.wav,1,3,dog_bark,none
102853-8-0-0.wav,7,8,siren,none
102853-8-0-1.wav,7,8,siren,none
102853-8-0-2.wav,7,8,siren,none
102853-8-0-3.wav,7,8,siren,none
102853-8-0-4.wav,7,8,siren,none
102853-8-0-5.wav,7,8,siren,none
102853-8-0-6.wav,7,8,siren,none
102853-8-1-0.wav,7,8,siren,none
102857-5-0-0.wav,10,5,engine_idling,none
102857-5-0-1.wav,10,5,engine_idling,none
102857-5-0-10.wav,10,5,engine_idling,none
102857-5-0-11.wav,10,5,engine_idling,none
102857-5-0-12.wav,10,5,engine_idling,none
102857-5-0-13.wav,10,5,engine_idling,none
102857-5-0-14.wav,10,5,engine_idling,none
102857-5-0-15.wav,10,5,engine_idling,none
102857-5-0-16.wav,10,5,engine_idling,none
102857-5-0-17.wav,10,5,engine_idling,none
102857-5-0-18.wav,10,5,engine_idling,none
102857-5-0-19.wav,10,5,engine_idling,none
102857-5-0-2.wav,10,5,engine_idling,none
102857-5-0-20.wav,10,5,engine_idling,none
102857-5-0-21.wav,10,5,engine_idling,none
102857-5-0-22.wav,10,5,engine_idling,none
102857-5-0-23.wav,10,5,engine_idling,none
102857-5-0-24.wav,10,5,engine_idling,none
102857-5-0-25.wav,10,5,engine_idling,none
102857-5-0-26.wav,10,5,engine_idling,none
102857-5-0-27.wav,10,5,engine_idling,none
102857-5-0-28.wav,10,5,engine_idling,none
102857-5-0-29.wav,10,5,engine_idling,none
102857-5-0-3.wav,10,5,engine_idling,none
102857-5-0-30.wav,10,5,engine_idling,none
102857-5-0-4.wav,10,5,engine_idling,none
102857-5-0-5.wav,10,5,engine_idling,none
102857-5-0-6.wav,10,5,engine_idling,none
102857-5-0-7.wav,10,5,engine_idling,none
102857-5-0-8.wav,10,5,engine_idling,none
102857-5-0-9.wav,10,5,engine_idling,none
102858-5-0-0.wav,2,5,engine_idling,none
102858-5-0-1.wav,2,5,engine_idling,none
102871-8-0-0.wav,2,8,siren,none
102871-8-0-1.wav,2,8,siren,none
102871-8-0-10.wav,2,8,siren,none
102871-8-0-11.wav,2,8,siren,none
102871-8-0-12.wav,2,8,siren,none
102871-8-0-13.wav,2,8,siren,none
102871-8-0-14.wav,2,8,siren,none
102871-8-0-15.wav,2,8,siren,none
102871-8-0-2.wav,2,8,siren,none
102871-8-0-3.wav,2,8,siren,none
102871-8-0-4.wav,2,8,siren,none
102871-8-0-5.wav,2,8,siren,none
102871-8-0-6.wav,2,8,siren,none
102871-8-0-7.wav,2,8,siren,none
102871-8-0-8.wav,2,8,siren,none
102871-8-0-9.wav,2,8,siren,none
103074-7-0-0.wav,1,7,jackhammer,none
103074-7-0-1.wav,1,7,jackhammer,none
103074-7-0-2.wav,1,7,jackhammer,none
103074-7-1-0.wav,1,7,jackhammer,none
103074-7-1-1.wav,1,7,jackhammer,none
103074-7-1-2.wav,1,7,jackhammer,none
103074-7-1-3.wav,1,7,jackhammer,none
103074-7-1-4.wav,1,7,jackhammer,none
103074-7-1-5.wav,1,7,jackhammer,none
103074-7-1-6.wav,1,7,jackhammer,none
103074-7-2-0.wav,1,7,jackhammer,none
103074-7-3-0.wav,1,7,jackhammer,none
103074-7-3-1.wav,1,7,jackhammer,none
103074-7-3-2.wav,1,7,jackhammer,none
103074-7-3-3.wav,1,7,jackhammer,none
103074-7-4-0.wav,1,7,jackhammer,none
103074-7-4-1.wav,1,7,jackhammer,none
103074-7-4-2.wav,1,7,jackhammer,none
103074-7-4-3.wav,1,7,jackhammer,none
103074-7-4-4.wav,1,7,jackhammer,none
103074-7-4-5.wav,1,7,jackhammer,none
103074-7-4-6.wav,1,7,jackhammer,none
103076-3-0-0.wav,8,3,dog_bark,none
103076-3-1-0.wav,8,3,dog_bark,none
103076-3-2-0.wav,8,3,dog_bark,none
103199-4-0-0.wav,3,4,drilling,none
103199-4-0-3.wav,3,4,drilling,none
103199-4-0-4.wav,3,4,drilling,none
103199-4-0-5.wav,3,4,drilling,none
103199-4-0-6.wav,3,4,drilling,none
103199-4-1-0.wav,3,4,drilling,none
103199-4-2-0.wav,3,4,drilling,none
103199-4-2-1.wav,3,4,drilling,none
103199-4-2-10.wav,3,4,drilling,none
103199-4-2-11.wav,3,4,drilling,none
103199-4-2-2.wav,3,4,drilling,none
103199-4-2-3.wav,3,4,drilling,none
103199-4-2-4.wav,3,4,drilling,none
103199-4-2-5.wav,3,4,drilling,none
103199-4-2-6.wav,3,4,drilling,none
103199-4-2-7.wav,3,4,drilling,none
103199-4-2-8.wav,3,4,drilling,none
103199-4-2-9.wav,3,4,drilling,none
103199-4-4-0.wav,3,4,drilling,none
103199-4-6-0.wav,3,4,drilling,none
103199-4-7-2.wav,3,4,drilling,none
103249-5-0-0.wav,9,5,engine_idling,none
103249-5-0-1.wav,9,5,engine_idling,none
103249-5-0-10.wav,9,5,engine_idling,none
103249-5-0-11.wav,9,5,engine_idling,none
103249-5-0-12.wav,9,5,engine_idling,none
103249-5-0-13.wav,9,5,engine_idling,none
103249-5-0-14.wav,9,5,engine_idling,none
103249-5-0-15.wav,9,5,engine_idling,none
103249-5-0-16.wav,9,5,engine_idling,none
103249-5-0-17.wav,9,5,engine_idling,none
103249-5-0-18.wav,9,5,engine_idling,none
103249-5-0-19.wav,9,5,engine_idling,none
103249-5-0-2.wav,9,5,engine_idling,none
103249-5-0-3.wav,9,5,engine_idling,none
103249-5-0-4.wav,9,5,engine_idling,none
103249-5-0-5.wav,9,5,engine_idling,none
103249-5-0-6.wav,9,5,engine_idling,none
103249-5-0-7.wav,9,5,engine_idling,none
103249-5-0-8.wav,9,5,engine_idling,none
103249-5-0-9.wav,9,5,engine_idling,none
103258-5-0-0.wav,1,5,engine_idling,none
103258-5-0-1.wav,1,5,engine_idling,none
103258-5-0-10.wav,1,5,engine_idling,none
103258-5-0-11.wav,1,5,engine_idling,none
103258-5-0-12.wav,1,5,engine_idling,none
103258-5-0-13.wav,1,5,engine_idling,none
103258-5-0-14.wav,1,5,engine_idling,none
103258-5-0-15.wav,1,5,engine_idling,none
103258-5-0-16.wav,1,5,engine_idling,none
103258-5-0-17.wav,1,5,engine_idling,none
103258-5-0-18.wav,1,5,engine_idling,none
